CPI ANNUAL RATE 00: ALL ITEMS 2015=100,Date,YearMonth,Gross Value Added - Monthly (3 month on 3 month growth) :CVM SA,Bank Rate,Exchange_USD,"Unemployment rate (aged 16 and over, seasonally adjusted): %",RPI: Percentage change over 12 months - Petrol and Oil incl Fuel Oil
0.1,2015-07-01,2015-07,0.3,,1.556,5.4,-12.4
0.0,2015-08-01,2015-08,0.2,,1.5583,5.3,-13.2
-0.1,2015-09-01,2015-09,0.3,,1.5326,5.2,-15.8
-0.1,2015-10-01,2015-10,0.3,,1.5339,5.1,-15.0
0.1,2015-11-01,2015-11,0.4,0.5,1.519,5.1,-14.0
0.2,2015-12-01,2015-12,0.5,0.5,1.4983,5.1,-14.0
0.3,2016-01-01,2016-01,0.5,0.5,1.4379,5.1,-8.7
0.3,2016-02-01,2016-02,0.7,0.5,1.4296,5.1,-8.7
0.5,2016-03-01,2016-03,0.6,0.5,1.425,5.0,-10.6
0.3,2016-04-01,2016-04,0.9,0.5,1.4312,4.9,-8.5
0.3,2016-05-01,2016-05,0.7,0.5,1.4518,4.9,-7.7
0.5,2016-06-01,2016-06,0.8,0.5,1.4209,4.9,-5.6
0.6,2016-07-01,2016-07,0.4,0.5,1.3141,5.0,-4.2
0.6,2016-08-01,2016-08,0.5,0.25,1.31,4.8,-4.2
1.0,2016-09-01,2016-09,0.5,0.25,1.3142,4.8,1.7
0.9,2016-10-01,2016-10,0.7,0.25,1.2329,4.8,4.1
1.2,2016-11-01,2016-11,0.7,0.25,1.2431,4.7,9.0
1.6,2016-12-01,2016-12,0.7,0.25,1.2488,4.7,10.8
1.8,2017-01-01,2017-01,1.0,0.25,1.2351,4.6,18.1
2.3,2017-02-01,2017-02,1.1,0.25,1.249,4.6,21.3
2.3,2017-03-01,2017-03,1.0,0.25,1.2348,4.5,19.6
2.7,2017-04-01,2017-04,0.7,0.25,1.2652,4.4,13.1
2.9,2017-05-01,2017-05,0.7,0.25,1.2933,4.4,8.2
2.6,2017-06-01,2017-06,0.9,0.25,1.2813,4.3,5.2
2.6,2017-07-01,2017-07,0.8,0.25,1.2994,4.3,2.4
2.9,2017-08-01,2017-08,0.7,0.25,1.2955,4.3,6.5
3.0,2017-09-01,2017-09,0.6,0.25,1.3324,4.2,6.7
3.0,2017-10-01,2017-10,0.6,0.25,1.3197,4.3,4.7
3.1,2017-11-01,2017-11,0.7,0.5,1.3219,4.4,3.3
3.0,2017-12-01,2017-12,0.7,0.5,1.3402,4.3,5.6
3.0,2018-01-01,2018-01,0.5,0.5,1.3832,4.2,2.6
2.7,2018-02-01,2018-02,0.3,0.5,1.3961,4.2,1.8
2.5,2018-03-01,2018-03,0.1,0.5,1.397,4.2,0.6
2.4,2018-04-01,2018-04,-0.1,0.5,1.4083,4.2,4.0
2.4,2018-05-01,2018-05,-0.1,0.5,1.3459,4.0,9.0
2.4,2018-06-01,2018-06,0.2,0.5,1.3288,4.0,12.6
2.5,2018-07-01,2018-07,0.4,0.5,1.3169,4.0,13.4
2.7,2018-08-01,2018-08,0.5,0.75,1.288,4.1,12.5
2.4,2018-09-01,2018-09,0.3,0.75,1.3062,4.1,11.6
2.4,2018-10-01,2018-10,0.3,0.75,1.3012,4.0,12.7
2.3,2018-11-01,2018-11,0.3,0.75,1.2901,4.0,10.2
2.1,2018-12-01,2018-12,0.1,0.75,1.2661,3.9,4.2
1.8,2019-01-01,2019-01,0.0,0.75,1.2901,4.0,1.9
1.9,2019-02-01,2019-02,0.1,0.75,1.3017,3.8,0.3
1.9,2019-03-01,2019-03,0.5,0.75,1.3165,3.8,3.0
2.1,2019-04-01,2019-04,0.5,0.75,1.3036,3.8,3.6
2.0,2019-05-01,2019-05,0.3,0.75,1.2841,3.9,3.8
2.0,2019-06-01,2019-06,0.2,0.75,1.2679,3.9,0.7
2.1,2019-07-01,2019-07,0.6,0.75,1.2469,3.9,-0.1
1.7,2019-08-01,2019-08,0.8,0.75,1.2155,3.9,-0.1
1.7,2019-09-01,2019-09,0.7,0.75,1.2354,3.8,-1.9
1.5,2019-10-01,2019-10,0.3,0.75,1.2647,3.8,-2.8
1.5,2019-11-01,2019-11,0.1,0.75,1.2883,3.7,-3.5
1.3,2019-12-01,2019-12,0.0,0.75,1.3101,3.9,0.4
1.8,2020-01-01,2020-01,0.0,0.75,1.3071,3.9,4.3
1.7,2020-02-01,2020-02,0.1,0.75,1.2957,4.1,1.5
1.5,2020-03-01,2020-03,-2.5,0.1,1.2364,4.1,-3.0
0.8,2020-04-01,2020-04,-10.9,0.1,1.241,4.1,-13.2
0.5,2020-05-01,2020-05,-18.9,0.1,1.23,4.1,-18.7
0.6,2020-06-01,2020-06,-19.9,0.1,1.2526,4.4,-17.7
1.0,2020-07-01,2020-07,-6.9,0.1,1.2691,4.6,-12.7
0.2,2020-08-01,2020-08,8.7,0.1,1.3126,5.0,-12.6
0.5,2020-09-01,2020-09,17.1,0.1,1.2956,5.2,-12.2
0.7,2020-10-01,2020-10,12.3,0.1,1.2985,5.2,-11.9
0.3,2020-11-01,2020-11,5.4,0.1,1.3207,5.3,-11.6
0.6,2020-12-01,2020-12,1.5,0.1,1.3432,5.2,-9.6
0.7,2021-01-01,2021-01,-1.4,0.1,1.3633,5.0,-9.6
0.4,2021-02-01,2021-02,-1.4,0.1,1.387,4.9,-2.9
0.7,2021-03-01,2021-03,-1.1,0.1,1.3859,4.8,3.4
1.5,2021-04-01,2021-04,2.6,0.1,1.3842,4.8,14.7
2.1,2021-05-01,2021-05,5.3,0.1,1.4091,4.7,19.6
2.5,2021-06-01,2021-06,7.0,0.1,1.4027,4.6,20.6
2.0,2021-07-01,2021-07,5.1,0.1,1.3807,4.5,18.3
3.2,2021-08-01,2021-08,3.0,0.1,1.3799,4.4,18.6
3.1,2021-09-01,2021-09,1.6,0.1,1.3733,4.3,18.7
4.2,2021-10-01,2021-10,1.5,0.1,1.3696,4.2,21.6
5.1,2021-11-01,2021-11,1.4,0.1,1.3448,4.2,29.4
5.4,2021-12-01,2021-12,1.2,0.25,1.3301,4.1,28.0
5.5,2022-01-01,2022-01,0.9,0.25,1.3561,3.9,24.5
6.2,2022-02-01,2022-02,0.7,0.5,1.3538,3.8,22.4
7.0,2022-03-01,2022-03,0.9,0.75,1.3173,3.8,33.3
9.0,2022-04-01,2022-04,0.8,0.75,1.2917,3.7,34.3
9.1,2022-05-01,2022-05,0.8,1.0,1.2443,3.8,36.2
9.4,2022-06-01,2022-06,0.5,1.25,1.229,3.6,44.4
10.1,2022-07-01,2022-07,0.4,1.25,1.1989,3.6,46.8
9.9,2022-08-01,2022-08,0.1,1.75,1.1999,3.7,32.8
10.1,2022-09-01,2022-09,0.0,2.25,1.1326,3.8,30.2
11.1,2022-10-01,2022-10,0.0,2.25,1.1307,3.9,24.5
10.7,2022-11-01,2022-11,0.1,3.0,1.1744,3.9,21.1
10.5,2022-12-01,2022-12,0.4,3.5,1.2184,3.9,13.5
10.1,2023-01-01,2023-01,0.3,3.5,1.2233,4.0,10.3
10.4,2023-02-01,2023-02,0.2,4.0,1.2086,4.0,6.2
10.1,2023-03-01,2023-03,0.1,4.25,1.2135,3.9,-6.4
8.7,2023-04-01,2023-04,0.1,4.25,1.2452,4.0,-9.9
8.7,2023-05-01,2023-05,-0.1,4.5,1.2473,4.2,-14.2
7.9,2023-06-01,2023-06,0.0,5.0,1.2631,4.3,-23.4
6.8,2023-07-01,2023-07,0.0,5.0,1.2881,4.3,-26.0
6.7,2023-08-01,2023-08,0.2,5.25,1.2707,4.1,-15.9
6.7,2023-09-01,2023-09,-0.1,5.25,1.2389,4.0,-10.3
4.6,2023-10-01,2023-10,-0.3,5.25,1.2168,4.0,-7.1
3.9,2023-11-01,2023-11,-0.4,5.25,1.243,3.9,-11.2
4.0,2023-12-01,2023-12,-0.3,5.25,1.2653,4.1,-10.9
4.0,2024-01-01,2024-01,0.0,5.25,1.2701,4.2,-10.0
3.4,2024-02-01,2024-02,0.2,5.25,1.2622,4.3,-7.1
3.2,2024-03-01,2024-03,0.8,5.25,1.2716,4.4,-4.0
2.3,2024-04-01,2024-04,0.8,5.25,1.2512,4.4,0.4
2.0,2024-05-01,2024-05,1.0,5.25,1.2634,4.2,2.8
2.0,2024-06-01,2024-06,0.6,5.25,1.271,4.2,3.5
2.2,2024-07-01,2024-07,0.5,5.25,1.2863,4.1,2.5
2.2,2024-08-01,2024-08,0.2,5.0,1.2933,4.3,-3.2
1.7,2024-09-01,2024-09,0.2,5.0,1.3217,4.3,-11.6
2.3,2024-10-01,2024-10,0.2,5.0,1.3045,4.4,-14.2
2.6,2024-11-01,2024-11,0.1,4.75,1.275,4.4,-12.2
2.5,2024-12-01,2024-12,0.2,4.75,1.2647,4.4,-6.0
3.0,2025-01-01,2025-01,0.3,4.75,1.2348,4.4,-2.8
2.8,2025-02-01,2025-02,0.6,4.5,1.2545,4.5,-2.4
2.6,2025-03-01,2025-03,0.7,4.5,1.2911,4.6,-5.4
3.5,2025-04-01,2025-04,0.7,4.5,1.3131,4.7,-9.8
3.4,2025-05-01,2025-05,0.5,4.25,1.3366,4.7,-11.5
3.6,2025-06-01,2025-06,0.3,4.25,1.3566,4.7,-10.0
3.8,2025-07-01,2025-07,0.2,4.25,1.3492,4.8,-7.0
3.8,2025-08-01,2025-08,0.3,4.0,1.345,,-5.2
3.8,2025-09-01,2025-09,,4.0,,,-1.4
,2025-10-01,2025-10,,4.0,,,1.1
,2025-11-01,2025-11,,4.0,,,
