date,horizon,actual,predicted,model
2023-12-01,1,4.0,3.7147499999999942,Random Forest
2024-01-01,1,3.4,3.9009999999999976,Random Forest
2024-02-01,1,3.2,3.1072500000000014,Random Forest
2024-03-01,1,2.3,2.953250000000001,Random Forest
2024-04-01,1,2.0,2.1707499999999995,Random Forest
2024-05-01,1,2.0,1.9497499999999988,Random Forest
2024-06-01,1,2.2,1.9449999999999985,Random Forest
2024-07-01,1,2.2,2.2635,Random Forest
2024-08-01,1,1.7,2.255000000000001,Random Forest
2024-09-01,1,2.3,1.4807500000000018,Random Forest
2024-10-01,1,2.6,2.2950000000000013,Random Forest
2024-11-01,1,2.5,2.7272500000000006,Random Forest
2024-12-01,1,3.0,2.544000000000004,Random Forest
2025-01-01,1,2.8,2.849500000000005,Random Forest
2025-02-01,1,2.6,2.652749999999996,Random Forest
2022-07-01,3,11.1,3.6026673,Hybrid LSTM–XGBoost
2022-08-01,3,10.7,3.6026921,Hybrid LSTM–XGBoost
2022-09-01,3,10.5,3.6322627,Hybrid LSTM–XGBoost
2022-10-01,3,10.1,3.612618,Hybrid LSTM–XGBoost
2022-11-01,3,10.4,3.6455755,Hybrid LSTM–XGBoost
2022-12-01,3,10.1,3.4372382,Hybrid LSTM–XGBoost
2023-01-01,3,8.7,3.341391,Hybrid LSTM–XGBoost
2023-02-01,3,8.7,3.413805,Hybrid LSTM–XGBoost
2023-03-01,3,7.9,2.8625512,Hybrid LSTM–XGBoost
2023-04-01,3,6.8,2.781497,Hybrid LSTM–XGBoost
2023-05-01,3,6.7,2.6421635,Hybrid LSTM–XGBoost
2023-06-01,3,6.7,2.475239,Hybrid LSTM–XGBoost
2023-07-01,3,4.6,2.4889169,Hybrid LSTM–XGBoost
2023-08-01,3,3.9,2.3761926,Hybrid LSTM–XGBoost
2023-09-01,3,4.0,2.5605028,Hybrid LSTM–XGBoost
2023-10-01,3,4.0,2.6506884,Hybrid LSTM–XGBoost
2023-11-01,3,3.4,2.6998897,Hybrid LSTM–XGBoost
2023-12-01,3,3.2,2.6971269,Hybrid LSTM–XGBoost
2024-01-01,3,2.3,2.709696,Hybrid LSTM–XGBoost
2024-02-01,3,2.0,2.6609309,Hybrid LSTM–XGBoost
2024-03-01,3,2.0,2.5872886,Hybrid LSTM–XGBoost
2024-04-01,3,2.2,2.1422527,Hybrid LSTM–XGBoost
2024-05-01,3,2.2,2.1514695,Hybrid LSTM–XGBoost
2024-06-01,3,1.7,2.190546,Hybrid LSTM–XGBoost
2024-07-01,3,2.3,2.4077148,Hybrid LSTM–XGBoost
