split,horizon,mae,rmse,r2
train,cpi_t1,0.10285035476326836,0.13971684402317516,0.9844118439718345
train,cpi_t3,0.13390401647263586,0.19178059942341566,0.970669939168752
train,cpi_t5,0.1474658261811318,0.21772021214881432,0.962227049306609
validation,cpi_t1,0.3373597916221411,0.4624526365685541,0.8534033886143142
validation,cpi_t3,0.7240393448624759,1.0617254948984371,0.5123518059373128
validation,cpi_t5,1.311940030964835,1.8218798658212234,0.21336785173270145
test,cpi_t1,2.7240430300328318,3.713118473079559,-0.2736627012992683
test,cpi_t3,3.068822903631456,4.148058872252173,-0.5453625892022191
test,cpi_t5,3.043764804057025,4.116410786555404,-0.5707381126333897
