feature,mean_abs_shap
LSTM_t5,0.09378417
LSTM_t3,0.02511769
LSTM_t1,0.012009022
cpi_yoy_l1,0.0011377243
cpi_yoy,0.00013351683
cpi_yoy_l3,0.00011941224
petrol_yoy,9.147137e-05
fx_usd,7.002985e-05
petrol_yoy_l1,4.1974527e-05
cpi_yoy_l6,1.7573222e-05
bank_rate_l1,1.378329e-05
unemp_rate_l1,6.801494e-06
bank_rate,6.695465e-06
fx_usd_l1,6.5815802e-06
unemp_rate,5.2894948e-06
gva_growth_l1,4.5044953e-06
gva_growth,2.9771586e-06
