horizon,model,MAE,RMSE,R2,n
1,RandomForest,2.2573828125000026,3.275029871345167,0.04330424715536518,32
1,ARIMA,3.198079102147947,3.41308283644591,-0.012913163279531181,32
1,Hybrid(LSTM+XGB),2.4696760468749996,3.512432833106238,-0.10042227074626409,32
3,RandomForest,2.005226562499998,2.7895216383285346,0.23221894798712805,32
3,Hybrid(LSTM+XGB),2.629301628125,3.6863166073925173,-0.34079748444396807,32
5,RandomForest,1.9317890625000014,2.5971588943046284,0.16168810702824798,32
5,Hybrid(LSTM+XGB),2.340931021875,3.2663868607866275,-0.32600092232164646,32
