model,MAE,RMSE,R2
Random Forest,2.2573828125000026,3.275029871345167,0.04330424715536518
ARIMA,3.198079102147947,3.41308283644591,-0.012913163279531181
Hybrid LSTM–XGBoost,2.4696760468749996,3.512432833106238,-0.10042227074626409
