horizon,model,MAE,RMSE,R2,n
1,RandomForest,2.2573828125000026,3.275029871345167,0.04330424715536518,32
3,RandomForest,2.005226562499998,2.7895216383285346,0.23221894798712805,32
5,RandomForest,1.9317890625000014,2.5971588943046284,0.16168810702824798,32
